symbol,annualized_return_pct,annualized_vol_pct,sharpe,sortino,pct_anomalous
JNJ,52.99,18.93,2.59,4.7,5.5
INTC,170.85,77.07,2.16,3.88,5.5
GOOGL,69.12,30.41,2.14,4.08,4.7
AMD,138.72,68.77,1.96,3.33,5.5
AAPL,49.95,24.34,1.89,2.87,6.3
CSCO,58.23,32.53,1.67,2.2,5.9
BAC,32.73,21.63,1.33,1.86,5.5
ABBV,36.73,26.02,1.26,2.03,4.7
XOM,32.77,24.95,1.15,1.67,5.1
UNH,48.37,39.46,1.12,1.37,4.7
GE,33.08,31.86,0.91,1.32,4.3
JPM,21.69,22.11,0.8,1.12,5.1
WMT,21.74,24.32,0.73,1.06,4.7
TSLA,30.2,44.69,0.59,0.98,4.0
NVDA,23.66,35.76,0.55,0.9,4.7
AMZN,13.6,31.09,0.31,0.46,4.3
V,6.41,21.88,0.11,0.18,4.0
META,-1.73,38.63,-0.15,-0.22,5.5
COST,-0.3,19.73,-0.22,-0.32,5.9
MSFT,-20.37,27.35,-0.89,-1.18,6.7
